TWA\TWS,4,6,8,10,12,14,16,20
5°,0.4,0.6,0.7,0.8,0.9,0.9,0.9,1
10°,0.8,1.2,1.5,1.7,1.8,1.8,1.9,1.9
15°,1.2,1.8,2.2,2.6,2.7,2.7,2.8,2.9
20°,1.4,2,2.6,2.9,3.1,3.1,3.2,3.3
25°,1.6,2.4,3.1,3.5,3.7,3.7,3.8,4
30°,2.7,4,5.1,5.8,6.1,6.2,6.4,6.6
35°,3,4.5,5.6,6.2,6.4,6.5,6.7,6.8
40°,3.4,4.9,5.9,6.4,6.6,6.8,6.9,7.1
45°,3.7,5.2,6.3,6.7,6.9,7,7.1,7.3
50°,4,5.6,6.5,6.9,7.1,7.2,7.3,7.6
60°,4.4,6,6.7,7.1,7.3,7.5,7.6,7.9
70°,4.6,6.1,6.9,7.3,7.6,7.8,8,8.2
80°,4.7,6.2,6.9,7.4,7.8,8.1,8.2,8.6
90°,4.6,6.2,7,7.4,7.8,8.2,8.5,9
100°,4.6,6.3,7.1,7.5,7.8,8.1,8.5,9.4
110°,4.6,6.3,7,7.6,8,8.2,8.5,9.5
120°,4.3,6,6.8,7.4,8,8.4,8.8,9.6
130°,3.8,5.5,6.5,7.2,7.7,8.3,8.8,10.1
140°,3.4,5,6.1,6.9,7.4,8,8.5,10
150°,2.9,4.3,5.6,6.5,7,7.5,8,9.3
160°,2.5,3.7,4.9,5.9,6.7,7.2,7.7,8.7
170°,2.3,3.4,4.5,5.5,6.4,6.9,7.4,8.4
180°,2.1,3.2,4.3,5.3,6.1,6.8,7.2,8.2
