TWA\TWS,4,6,8,10,12,14,16,20
5°,0.3,0.5,0.6,0.8,0.9,1,1,1
10°,0.7,1,1.3,1.6,1.8,1.9,2,2
15°,1,1.5,1.9,2.4,2.7,2.9,2.9,3
20°,1.2,1.7,2.2,2.7,3.1,3.3,3.4,3.4
25°,1.4,2,2.6,3.2,3.7,3.9,4,4.1
30°,2.3,3.4,4.4,5.4,6.1,6.5,6.7,6.8
35°,2.7,4,5,6,6.7,7.1,7.2,7.4
40°,3,4.4,5.5,6.5,7.1,7.4,7.6,7.7
45°,3.4,4.9,5.9,6.9,7.5,7.7,7.9,8.1
50°,3.8,5.3,6.4,7.2,7.8,8.1,8.2,8.4
60°,4.2,5.8,6.8,7.6,8.1,8.4,8.5,8.7
70°,4.4,6,7.1,7.9,8.3,8.5,8.7,9
80°,4.5,6.1,7.2,8,8.3,8.6,8.8,9.2
90°,4.5,6.1,7.2,8,8.4,8.6,8.8,9.3
100°,4.5,6,7.2,8,8.4,8.7,9,9.5
110°,4.3,5.9,7.2,8,8.5,8.9,9.2,9.7
120°,4.1,5.7,6.9,7.9,8.4,8.7,9.1,9.9
130°,3.7,5.3,6.5,7.5,8.1,8.5,8.9,9.6
140°,3.2,4.8,5.9,7,7.8,8.3,8.6,9.4
150°,2.8,4.2,5.3,6.3,7.3,8,8.4,9
160°,2.4,3.7,4.7,5.8,6.9,7.6,8.1,8.7
170°,2.2,3.4,4.3,5.4,6.5,7.3,7.8,8.4
180°,2.1,3.1,4.1,5,6.1,7,7.5,8.1
