TWA\TWS,4,6,8,10,12,14,16,20
5°,0.3,0.4,0.6,0.6,0.7,0.7,0.7,0.7
10°,0.6,0.9,1.1,1.3,1.4,1.4,1.5,1.5
15°,0.9,1.3,1.7,1.9,2.1,2.2,2.2,2.2
20°,1,1.5,1.9,2.2,2.4,2.5,2.5,2.6
25°,1.2,1.8,2.3,2.6,2.8,2.9,3,3.1
30°,2,3,3.8,4.3,4.7,4.9,5,5.1
35°,2.3,3.4,4.3,4.8,5.1,5.3,5.5,5.6
40°,2.5,3.7,4.7,5.2,5.5,5.7,5.9,6
45°,2.8,4.1,5.1,5.6,5.9,6.1,6.2,6.4
50°,3.1,4.5,5.5,6,6.3,6.4,6.5,6.7
60°,3.4,4.8,5.8,6.4,6.6,6.7,6.8,7
70°,3.5,5,6,6.6,6.8,7,7.1,7.3
80°,3.6,5.1,6.1,6.7,7,7.2,7.3,7.6
90°,3.7,5.2,6.2,6.7,7.1,7.3,7.5,7.8
100°,3.7,5.3,6.3,6.8,7,7.3,7.6,8
110°,3.6,5.2,6.2,6.8,7.1,7.3,7.5,8.1
120°,3.4,4.9,6.1,6.7,7.2,7.5,7.7,8.1
130°,3.1,4.5,5.7,6.5,7,7.4,7.8,8.4
140°,2.8,4.1,5.3,6.2,6.8,7.2,7.7,8.4
150°,2.4,3.6,4.8,5.7,6.4,6.9,7.4,8.2
160°,2.1,3.2,4.3,5.2,6,6.6,7.1,7.9
170°,2,3,4,4.9,5.7,6.4,6.9,7.6
180°,1.9,2.8,3.7,4.6,5.4,6.1,6.6,7.4
