,Lattitude,Longitude
0,34.51502398,-112.3847089
1,34.51521801,-112.3846257
2,34.51541204,-112.3844924
3,34.5155645,-112.3844092
4,34.51577239,-112.3843426
5,34.51578625,-112.3842093
6,34.51575853,-112.3841427
7,34.51573081,-112.3839429
8,34.51578625,-112.3839595
9,34.51578625,-112.383743
10,34.51578625,-112.3835265
11,34.51570309,-112.3831934
12,34.51568923,-112.3830435
13,34.51568923,-112.382827
14,34.51568923,-112.3825772
15,34.51568923,-112.3824273
16,34.51577239,-112.382494
17,34.51584168,-112.3824773
18,34.51595256,-112.3825439
19,34.51596642,-112.3826772
20,34.516008,-112.3827271
21,34.51606343,-112.3827271
22,34.51607729,-112.3826438
23,34.51607729,-112.3825439
24,34.51602186,-112.3824273
25,34.51591098,-112.3823607
26,34.51588326,-112.3822275
27,34.51591098,-112.3822108
28,34.51599414,-112.3822108
29,34.51620203,-112.3822775
30,34.51620203,-112.3824273
31,34.51622975,-112.3825772
32,34.51625747,-112.3827438
33,34.51632676,-112.3829103
34,34.51636834,-112.3830602
35,34.51639606,-112.3832267
36,34.51639606,-112.3834765
37,34.5163129,-112.3836764
38,34.51639606,-112.383743
39,34.51653465,-112.3838096
40,34.51663167,-112.3838429
41,34.5168257,-112.3840095
42,34.51695043,-112.3840761
43,34.51711675,-112.3840761
44,34.51735236,-112.384176
45,34.51753253,-112.384226
46,34.51765726,-112.384226
47,34.51780972,-112.3842426
48,34.51792059,-112.3842593
49,34.51807304,-112.3843092
50,34.51812848,-112.3843259
51,34.51823936,-112.3843759
52,34.51829479,-112.3843592
53,34.51843339,-112.3843759
54,34.51847497,-112.3843925
55,34.51854426,-112.3843426
56,34.51858584,-112.3843259
57,34.51862742,-112.3843092
58,34.51865514,-112.3842426
59,34.518669,-112.384176
60,34.518669,-112.3840761
61,34.51868286,-112.3839762
62,34.51871058,-112.3838929
63,34.51872443,-112.3838762
64,34.51869672,-112.3837264
65,34.51862742,-112.3836264
66,34.51858584,-112.3834932
67,34.51858584,-112.3834765
68,34.51868286,-112.3834765
69,34.51877987,-112.3835765
70,34.51886303,-112.3836431
71,34.51889075,-112.3837264
72,34.51894618,-112.3837763
73,34.51900162,-112.3838762
74,34.51901548,-112.3839262
75,34.5190432,-112.3840261
76,34.51908478,-112.3841927
77,34.51908478,-112.3842093
78,34.51912636,-112.3843426
79,34.51916793,-112.3843426
80,34.51923723,-112.3843426
81,34.51927881,-112.3843592
82,34.51929267,-112.3843592
83,34.51936197,-112.3843759
84,34.51940354,-112.3843925
85,34.51943126,-112.3844258
86,34.51950056,-112.3844425
87,34.51954214,-112.3844425
88,34.51958372,-112.3844591
89,34.51958372,-112.3844591
90,34.51968073,-112.3844758
91,34.51972231,-112.3844924
92,34.51973617,-112.3844924
93,34.51976389,-112.3845091
94,34.51976389,-112.3845091
95,34.51976389,-112.3843759
96,34.51977775,-112.3843426
97,34.51977775,-112.3842593
98,34.51979161,-112.3841594
99,34.51980547,-112.3841261
100,34.51983318,-112.3840594
101,34.5198609,-112.3840428
102,34.51995792,-112.3839262
103,34.52001336,-112.3838762
104,34.52005493,-112.3837763
105,34.52005493,-112.3836597
106,34.52005493,-112.3835765
107,34.52012423,-112.3836098
108,34.52016581,-112.3836098
109,34.52019353,-112.383693
110,34.52020739,-112.383743
111,34.52024897,-112.3838762
112,34.52024897,-112.3840095
113,34.52024897,-112.3841094
114,34.52024897,-112.3841427
115,34.52024897,-112.3841594
116,34.52031826,-112.3843092
117,34.52035984,-112.3843592
118,34.52052615,-112.3845091
119,34.52067861,-112.3846423
120,34.52072018,-112.3847089
121,34.52072018,-112.3847089
122,34.52073404,-112.3848422
123,34.52078948,-112.3848921
124,34.52092808,-112.3849754
125,34.52101123,-112.3850087
126,34.52105281,-112.3850753
127,34.52117754,-112.3851253
128,34.52121912,-112.3851586
129,34.52128842,-112.3852086
130,34.52135772,-112.3852086
131,34.52141315,-112.3851752
132,34.52149631,-112.3851752
133,34.52157947,-112.385092
134,34.5216349,-112.3850087
135,34.52166262,-112.3849754
136,34.5217042,-112.3848588
137,34.52174578,-112.3847422
138,34.52181508,-112.3847422
139,34.52188437,-112.3846923
140,34.52196753,-112.3847256
141,34.52200911,-112.3847922
142,34.52206454,-112.3848422
143,34.52213384,-112.3848588
144,34.52225858,-112.3848588
145,34.52238331,-112.3848755
146,34.52249418,-112.3848755
147,34.52256348,-112.3849587
148,34.5225912,-112.3850753
149,34.52260506,-112.3851419
150,34.52261892,-112.3852585
151,34.52261892,-112.3857415
152,34.5225912,-112.3858747
153,34.52253576,-112.3861245
154,34.52249418,-112.3862411
155,34.52243875,-112.3863743
156,34.52235559,-112.3864909
157,34.522217,-112.3865242
158,34.52209226,-112.3866075
159,34.52189823,-112.3866908
160,34.52182893,-112.386824
161,34.52175964,-112.3868739
162,34.52164876,-112.3869572
163,34.52155175,-112.3870405
164,34.52142701,-112.3872403
165,34.52133,-112.3873403
166,34.52117754,-112.3875401
167,34.52109439,-112.38764
168,34.52103895,-112.38774
169,34.52098351,-112.3878732
170,34.52090036,-112.3880564
171,34.52084492,-112.3882396
172,34.5208172,-112.3883562
173,34.52078948,-112.3884228
174,34.52070633,-112.3883562
175,34.52072018,-112.3882895
176,34.52073404,-112.3881896
177,34.52072018,-112.3881396
178,34.52072018,-112.3880564
179,34.52066475,-112.3879898
180,34.52066475,-112.3879565
181,34.52065089,-112.3878732
182,34.52065089,-112.3877233
183,34.52062317,-112.3876567
184,34.52060931,-112.3875901
185,34.52059545,-112.3874235
186,34.52058159,-112.387307
187,34.52056773,-112.3872237
188,34.52049843,-112.3871571
189,34.52049843,-112.3871071
190,34.52034598,-112.3871404
191,34.52026283,-112.3872736
192,34.52016581,-112.3873403
193,34.52005493,-112.3874735
194,34.51990248,-112.3876067
195,34.51983318,-112.38769
196,34.51979161,-112.38774
197,34.51962529,-112.3878732
198,34.51952828,-112.3879565
199,34.51945898,-112.3879898
200,34.51940354,-112.3879231
201,34.51940354,-112.3878565
202,34.5194174,-112.3877899
203,34.51943126,-112.3877066
204,34.51950056,-112.3876234
205,34.51952828,-112.3876067
206,34.51952828,-112.3875734
207,34.51952828,-112.3875568
208,34.51959758,-112.3875235
209,34.51963915,-112.3874735
210,34.51963915,-112.3874735
211,34.51965301,-112.3874568
212,34.51966687,-112.3874568
213,34.51966687,-112.3874069
214,34.51966687,-112.3873736
215,34.51966687,-112.3872736
216,34.51965301,-112.3872403
217,34.51965301,-112.387207
218,34.51963915,-112.3870405
219,34.51962529,-112.3870072
220,34.51959758,-112.3869073
221,34.51959758,-112.3869073
222,34.51961143,-112.3868906
223,34.51959758,-112.386774
224,34.51950056,-112.3867074
225,34.51937583,-112.3866908
226,34.51930653,-112.3866075
227,34.51919565,-112.3866075
228,34.51908478,-112.3865575
229,34.51905706,-112.3865076
230,34.51898776,-112.3864743
231,34.51893233,-112.3864743
232,34.51882145,-112.3864076
233,34.51872443,-112.3864076
234,34.51862742,-112.3863743
235,34.5185304,-112.3863077
236,34.51837795,-112.3863077
237,34.51828093,-112.3862744
238,34.51811462,-112.3862244
239,34.51803147,-112.3862078
240,34.51798989,-112.3861911
241,34.51790673,-112.3861911
242,34.517782,-112.3862744
243,34.51775428,-112.386341
244,34.5176434,-112.3864409
245,34.51760183,-112.3864743
246,34.51754639,-112.3864076
247,34.51754639,-112.3863577
248,34.51749095,-112.3863077
249,34.51747709,-112.3862578
250,34.51742165,-112.3862411
251,34.51740779,-112.3862078
252,34.51740779,-112.3862078
253,34.51740779,-112.3861578
254,34.51740779,-112.3861745
255,34.51725534,-112.3862078
256,34.5171999,-112.3863244
257,34.51713061,-112.3864409
258,34.51704745,-112.3865575
259,34.51697815,-112.3865076
260,34.51696429,-112.3864243
261,34.51692272,-112.3863577
262,34.516895,-112.3862744
263,34.51686728,-112.3861911
264,34.51685342,-112.3860746
265,34.5168257,-112.3859913
266,34.51681184,-112.3859746
267,34.51679798,-112.3859413
268,34.51672868,-112.3859413
269,34.51661781,-112.3858581
270,34.51643764,-112.3858248
271,34.51634062,-112.3857914
272,34.51617431,-112.3858081
273,34.51602186,-112.3858248
274,34.51582783,-112.3859413
275,34.51570309,-112.3860079
276,34.51557836,-112.3861578
277,34.51552292,-112.3862244
278,34.51546748,-112.3861079
279,34.51546748,-112.3860579
280,34.51548134,-112.3859913
281,34.5154952,-112.3858581
282,34.51550906,-112.3857914
283,34.5154952,-112.3856416
284,34.51546748,-112.3855749
285,34.51531503,-112.3855749
286,34.51523187,-112.385525
287,34.51509328,-112.3855083
288,34.51507942,-112.3854084
289,34.51503784,-112.384659
290,34.51517643,-112.3845424
291,34.51532889,-112.3844425
292,34.51560608,-112.3843592
